city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,min-salary-group,max-salary-group,city: Екатеринбург,city: Казань,city: Москва,city: Новосибирск,city: Санкт-Петербург,experience: Более 6 лет,experience: Нет опыта,experience: От 1 года до 3 лет,experience: От 3 до 6 лет,employment-form: Полная занятость,employment-form: Проектная работа,employment-form: Стажировка,employment-form: Частичная занятость,employment-schedule: Вахтовый метод,employment-schedule: Гибкий график,employment-schedule: Полный день,employment-schedule: Сменный график,employment-schedule: Удаленная работа,пользователь пк,работа в команде,грамотная речь,деловое общение,стрессоустойчивость,mathcad,грамотность,чтение чертежей,ответственность,креативность,other
Екатеринбург,Ресурс Групп,2019-12-04T13:13:11+0300," Требуются для работы вахтовым методом Операторы станков с ЧПУ в Воронежскую область   Работа на крупном предприятии, с официальным трудоустройством по ТК РФ   Проживание предоставляем в квартирах   Срок вахта 60 дней   Проезд оплачиваем. ",Полная занятость,Вахтовый метод,От 3 до 6 лет,,6.0,37333.333333333336,3.0,75000.0,оператор станков с чпу,Без требований,Без обязанностей,0.3,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Ресурс Групп,2019-12-09T13:42:08+0300, Требуются операторы станков с чпу в Воронежскую область   Срок вахты 60 дней   Трудоустройство по ТК РФ   Проживание предоставляем в квартирах   Проезд оплачиваем ,Полная занятость,Вахтовый метод,От 3 до 6 лет,,6.0,37333.333333333336,3.0,75000.0,оператор чпу,Без требований,Без обязанностей,0.13333333333333333,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Екатеринбург,Ресурс Групп,2019-12-06T13:06:33+0300," работа вахтовым методом (вахта 60/30) Воронежская область, работа на механическом заводе,   изготовление деталей для ржд, авиационной и нефтяной промышленности   обработка различных видов стали и цветного металла   станки токарные, фрезерные, карусельные, расточные с ЧПУ, стойки CNC, Фанук, NC-230, Синумерик, Бош   5-6 разряд, опыт от 5-ти лет,   оплата часовая, доплата за ночные смены, график 6/11, вс выходной,   проживание съемные квартиры за счет предприятия,   спецодежда на первое время своя, питание самостоятельно (авансы 15 и 30),   проезд предоставляется на вахту и с вахты домой, при условии отработки без нарушения трудовой дисциплины,   трудоустройство по тк рф, выплата зп на банковскую карту ",Полная занятость,Вахтовый метод,Более 6 лет,,,75000.0,6.0,70000.0,оператор станка с чпу,"5-6 разряд, опыт от 5-ти лет.","Изготовление деталей для ржд, авиационной и нефтяной промышленности. Обработка различных видов стали и цветного металла. Станки токарные, фрезерные, карусельные, расточные...",0.23333333333333334,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Ростелеком,2019-12-10T12:51:54+0300," Обязанности:       Проведение телефонных переговоров с целью информирования клиентов о задолженности перед компанией Ростелеком.       Требования:     Образование: среднее профессиональное и выше;   Желание учиться и развиваться в новом направлении     Опыт работы в call-центрах приветствуется     Грамотная речь;   Уверенный пользователь ПК;   Стрессоустойчивость;     Условия:     Официальное оформление согласно ТК РФ (официальная заработная плата, оплачиваемый отпуск, больничный);   Оклад + премии (ежемесячная в размере 25%, годовая в размере 18%);   График работы: 4/3 (сб и вс - выходные + один день на неделе) с 10:00 до 21:00;   Рабочее место: ул. Дуси Ковальчук 258/2 (ст. м. Заельцовская, пл. Калинина);   Расширенный социальный пакет;   Компенсация санаторно-курортного лечения работников;   Компенсация части стоимости путевок в детские оздоровительные лагеря для детей сотрудников;   Материальная помощь к отпуску, по случаю рождения ребенка, новогодние подарки детям сотрудников;   Программа негосударственного пенсионного обеспечения;   Развитая корпоративная культура (культурные, развлекательные, спортивные мероприятия);   Работа в крупнейшем федеральном телеком - операторе России.   ",Полная занятость,Полный день,Нет опыта,,,53000.0,,20000.0,оператор сall центра,Образование: среднее профессиональное и выше. Желание учиться и развиваться в новом направлении. Опыт работы в call-центрах приветствуется. Грамотная речь. ,Проведение телефонных переговоров с целью информирования клиентов о задолженности перед компанией Ростелеком.,0.1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Сибирские Сети,2019-12-05T06:10:39+0300,"  «Сибирские сети»  - это крупнейший региональный провайдер телекоммуникационных услуг за Уралом. Мы работаем в 6 регионах, 32 городах, а каждый сотрудник является частью большой и дружной команды SIBSET TEAM. Про нас говорят: &quot;Надежная компания с сильной командой&quot;.   Найти нашу команду ты можешь по хэштегу в соц. сетях  # работа в сибирских сетях     Что будешь делать?      помогать абонентам в решении любых вопросов: как сменить тариф, как посмотреть состояние счета, как оставить заявку на техническую поддержку;   рассказывать о наших услугах и продуктах;   оформлять заявки на выезд (подключение, обрыв, настойка оборудования);   фиксировать каждый принятый звонок в программах компании.      Что тебя ждет?      официальное трудоустройство с первого рабочего дня;   белая заработная плата (оклад + бонусы);   график работы разнообразный 2/2, 5/2;   работа в уютном лофтовом офисе на проспекте Дзержинского, рядом с Березовой рощей. В офисе ты можешь покататься на самокате или поиграть в настольный теннис;   обучение и полное погружение в мир телекоммуникаций (тренинги, мастер классы);   развоз сотрудников до дома после вечерних смен;   возможность выбрать свой карьерный путь в разных направлениях компании: программирование, продажи, финансы, администрирование!     А еще тебя ждет специальный тариф «Сотрудник» на услуги компании и сплоченная команда с добрыми корпоративными традициями.   Хочешь быть с нами? Скорее откликайся:) ",Полная занятость,Сменный график,Нет опыта,|Консультирование клиентов по телефону|входящие звонки|работа с физическими лицами|Консультирование клиентов|Работа в команде|Деловое общение|Ведение переговоров,,28000.0,,18000.0,оператор контактного центра,Что будешь делать?,"Помогать абонентам в решении любых вопросов: как сменить тариф, как посмотреть состояние счета, как оставить заявку на техническую поддержку. ",0.26666666666666666,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1
Новосибирск,ЭР-Телеком,2019-12-13T12:13:04+0300,"  Обязанности:      принимать звонки существующих и потенциальных Клиентов, консультировать по возникшим вопросам (без продажи услуг)   формировать у Клиентов уверенность в оперативном решении их вопросов, быть готовым проявить инициативу   находить общий язык с Клиентом, проявляя индивидуальный подход, поддерживать позитивную атмосферу на протяжении всей беседы          Требования:      среднее или высшее образование   желание начать карьеру и нарабатывать опыт в крупной федеральной стабильно развивающейся Компании   умение найти подход к любому Клиенту          Для своих сотрудников мы создаем комфортные условия труда, а именно:      оформим на работу по всем правилам и законам   предоставим полностью оборудованное рабочее место   обучим всем тонкостям и премудростям общения с Клиентом   график работы (5/2 сб-вск выходные); с 10-00 до 19-00 и с 11-00 до 20-00   в дальнейшем по желанию может быть предоставлен график день/ночь (2 день/2 выходных/2 ночь)   предоставим реальные возможности карьерного развития   оплатим Вашу мобильную связь   и самое главное, мы выплатим полностью белую зарплату, которая складывается из оклада и премии   ",Полная занятость,Полный день,Нет опыта,,,26000.0,,23000.0,оператор контакт центра,Среднее или высшее образование. Желание начать карьеру и нарабатывать опыт в крупной федеральной стабильно развивающейся Компании. Умение найти подход к...,"Принимать звонки существующих и потенциальных Клиентов, консультировать по возникшим вопросам (без продажи услуг). Формировать у Клиентов уверенность в оперативном решении...",0.0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Первая пекарня,2019-12-03T12:22:06+0300, Обязанности:     Осуществление непрерывного видеонаблюдения на объектах с 8:00 до 18:00   Ежедневное заполнение отчета (Exсel)     Требования:     опыт работы с системами видеонаблюдения желателен   уверенный пользователь ПК      Условия:      График сменный 2/2 или 3/3   Официальное трудоустройство по ТК РФ   Своевременная выплата заработной платы 2 раза в месяц   Офис находится в центре города   ,Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,25000.0,1.0,40545.454545454544,оператор видеонаблюдения,Опыт работы с системами видеонаблюдения желателен. Уверенный пользователь ПК.,Осуществление непрерывного видеонаблюдения на объектах с 8:00 до 18:00. Ежедневное заполнение отчета (Exсel).,0.3333333333333333,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Ресурс Групп,2019-12-03T08:31:00+0300," На работу вахтовым методом в Воронежскую область требуются операторы станков с ЧПУ фрезерной и токарной группы, вахта 60/30. Оплата фиксированная и стабильная 240 руб./час, ночной коэффициент 1,2 (288 руб./час) (НЕ сделка), 11 час./день, 6 дн./нед. (з.п. 70000- 75000 руб./мес).   Проживание, проезд, спец. одежда предоставляются, питание самостоятельно. Выдача аванса производится каждые 2 недели. Прямой работодатель, официальное трудоустройство.   Разряд 4-6, опыт от 3 лет. Токарные, фрезерные, карусельные, расточные станки с ЧПУ. Стойки CNC, FANUK, NC- 230, Синумерик, Бош.     ",Полная занятость,Вахтовый метод,От 3 до 6 лет,|Пользователь ПК|Mathcad|Творческое мышление,6.0,75000.0,3.0,70000.0,оператор чпу,"Разряд 4-6, опыт от 3 лет. Токарные, фрезерные, карусельные, расточные станки с ЧПУ. Стойки CNC, FANUK, NC- 230, Синумерик...",Без обязанностей,0.3333333333333333,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
Новосибирск,Билайн,2019-12-13T16:12:39+0300," Ищешь работу в открытой рабочей среде, готов к интересным задачам?    Приглашаем тебя стать частью глобальной команды профессионалов «Билайн»!    Ты наш человек, если понятия «честность», «открытость» и «добросовестность» для тебя важны и ты готов соответствовать высоким стандартам деловой этики и корпоративной культуры: соблюдать Кодекс поведения, политики и процедуры Компании. Мы сработаемся, если наши ценности - «люблю клиента», «работаю в команде», «отвечаю за бизнес-результат», «создаю будущее» и «честен и открыт» - близки тебе!!        Вместе с нами ты:      Станешь экспертом по новинкам телеком-рынка и продуктам Компании.   Научишься продавать клиентам услуги мобильной связи и мобильного интернета.   Приобретешь навык эффективных телефонных переговоров, предлагая наши услуги действующим клиентам компании.      Если ты можешь сказать о себе:      Я общительный и любознательный.   Люблю и умею аргументированно отстоять свое мнение.   Умею найти выход в самой нестандартной ситуации.   С компьютером и смартфонами «на ты».      Мы предлагаем тебе:       Финансовую стабильность  - нам важно, чтобы каждый член нашей команды чувствовал себя уверенно. У нас ты можешь заработать помимо  ежемесячного оклада  неограниченную  премию,  размер которой  будет зависеть только от тебя.  Полностью официальное оформление и выплаты.    Постоянное развитие и реальная возможность карьерного роста.        Дополнительные льготы и бонусы от компании: скидки на покупку девайсов, корпоративная мобильная связь и многое другое - ты сам убедишься в качестве наших услуг!   Возможность  работать из дома при успешном выполнении показателей работы уже через 3 месяца.    Удобный рабочий график (без ночных смен),5\2 или 2\2.   Крутая команда и помощь руководителя, активная жизнь: корпоративные праздники, открытое общение с коллегами в корпоративной сети и в реальном мире. Есть возможность работать летом полный день с дальнейшим переводом на 0,5 ставки!   ",Полная занятость,Полный день,Нет опыта,,,71000.0,,30000.0,оператор сall центра,Если ты можешь сказать о себе: Я общительный и любознательный. Люблю и умею аргументированно отстоять свое мнение. Умею найти выход...,Научишься продавать клиентам услуги мобильной связи и мобильного интернета.,0.0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Ресурс Групп,2019-12-04T14:30:47+0300," На работу вахтовым методом требуются операторы станков с чпу.   Трудоустройство официальное по ТК Рф. Вахта 60/30, по 11-ть часов, 6-ть дней в неделю. Проживание бесплатно (квартиры), авансы 15 и 30 числа. Частичное возмещение проезда.   Токарные, фрезерные, карусельные, расточные станки с чпу. Стойки CNC, NC-230, FANUK, Sinumerik, Boosch.   Опыт работы от 3-х лет, разряд от 5-ого. Запись в трудовой книжке. ",Полная занятость,Вахтовый метод,От 3 до 6 лет,|Пользователь ПК|Mathcad|Поиск информации в интернет|Материальная ответственность,6.0,75000.0,3.0,70000.0,оператор станков с чпу,"Опыт работы от 3-х лет, разряд от 5-ого. Запись в трудовой книжке.","Токарные, фрезерные, карусельные, расточные станки с чпу. Стойки CNC, NC-230, FANUK, Sinumerik, Boosch.",0.3,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1
Новосибирск,Ресурс Групп,2019-11-28T10:42:22+0300,"  На работу  ВАХТОВЫМ МЕТОДОМ  приглашаем операторов станков с ЧПУ      Условия:      -  ВАХТА  60/30     - 6/1 по 11 часов     -  ЖИЛЬЕ  предоставляется  БЕСПЛАТНО      -  СПЕЦ.ОДЕЖДА  предоставляется  БЕСПЛАТНО      - На  ПИТАНИЕ  выдаем  АВАНСЫ  2 раза в месяц     -  ПРОЕЗД  ПРЕДОСТАВЛЯЕТСЯ     -  ОФИЦИАЛЬНОЕ  трудоустройство по ТК РФ от ПРЯМОГО РАБОТОДАТЕЛЯ     Требования:     - Опыт работы от 2 лет,подтвержденный в трудовой книжке     - разряд от 4       Обязанности:      - Работа токарной группе станков с ЧПУ...  ",Полная занятость,Вахтовый метод,От 3 до 6 лет,,6.0,53000.0,3.0,75000.0,оператор станков с чпу,"Опыт работы от 2 лет,подтвержденный в трудовой книжке. - разряд от 4.",Работа токарной группе станков с ЧПУ...,0.5,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Новосибирск,Лед-М,2019-12-11T10:35:00+0300," Обязанности:     Работа по изготовлению и обработке деталей на фрезерно-гравировальном станке c ЧПУ (DirTec-2141B, 6кВт);   Раскрой листовых материалов (оргстекла, дерева, мдф, фанеры и других);   Подготовка и запуск файлов на резку;   Контроль точности и качества изготавливаемой продукции;     Учет листового материала для фрезеровки и составление плана закупки;   Подбор необходимых режимов обработки и инструмента, наладка станка;   Профилактическое обслуживание оборудования и поддержание его в рабочем состоянии;     Технический контроль оборудования и расходных материалов.     Требования:     Опыт работы на фрезерно-гравировальных станках с ЧПУ (раскрой, фрезеровка);     Знание специализированных программ для раскроя и фрезеровки на уровне продвинутого пользователя (ArtCAM, AutoCAD, CorelDRAW и т.п.);       Умение читать чертежи;       Знание SolidWorks на любом уровне будет преимуществом;           Составление управляющих программ для станка, их тестирование и корректировка;       Опыт работы с разными материалами: МДФ, оргстекло, дерево, ПВХ и т.д.;       Знание принципов работы координатно-фрезерного станка и навыки его обслуживания;         Умение оптимизировать технические процессы.     Условия:       График работы 5/2, с 8:00 до 17:00;     Заработная плата регулярно без задержек 2 раза в месяц, переработки оплачиваются.   ",Полная занятость,Полный день,От 1 года до 3 лет,|AutoCAD|CorelDRAW|CorelDRAW Graphics Suite|ArtCAM,3.0,53000.0,1.0,40000.0,оператор чпу,"Опыт работы на фрезерно-гравировальных станках с ЧПУ (раскрой, фрезеровка). Знание специализированных программ для раскроя и фрезеровки на уровне продвинутого...","Работа по изготовлению и обработке деталей на фрезерно-гравировальном станке c ЧПУ (DirTec-2141B, 6кВт). Раскрой листовых материалов...",0.06666666666666667,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Новосибирск,Консалтинговый Центр «Вакансия Плюс»,2019-12-06T06:15:56+0300," В крупную производственную компанию в Искитиме, которая занимается поставками металлорежущего, слесарно-монтажного, мерительного и пневматического инструмента как отечественного, так и импортного производства на российские промышленные предприятия в связи с расширением производства требуется  оператор станков с ЧПУ.     Обязанности:      работа на фрезерном станке с ЧПУ, стойка Fanuc;   работа на токарном станке с ЧПУ, стойка Siemens;   обслуживание оборудования;   ввод управляющей программы;   изготовление деталей;   подбор режимов резания;   проведение измерительных работ;   сдача продукции;   уборка рабочего места.     Требования:     Средне-специальное образование;   Опыт работы на аналогичной должности не менее 1 года.     Условия:     Сменный график 12 часов с 8:00 до 20:00   Оплата - 2000 р/смена + 10 000 ежемесячная премия   При наличии опыта программирования (Solidworks, PowerMill) – возможна дополнительная оплата   ",Полная занятость,Сменный график,От 1 года до 3 лет,,3.0,53000.0,1.0,30000.0,оператор станков с чпу,Средне-специальное образование. Опыт работы на аналогичной должности не менее 1 года.,"Работа на фрезерном станке с ЧПУ, стойка Fanuc. Работа на токарном станке с ЧПУ, стойка Siemens. Обслуживание оборудования. ",0.23333333333333334,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
