,min-salary,max-salary
0,133197.2540045767,200000.0
1,100000.0,201989.58333333328
2,75757.84313725491,124128.20512820511
3,75757.84313725491,124128.20512820511
4,75757.84313725491,124128.20512820511
5,75757.84313725491,124128.20512820511
6,75757.84313725491,124128.20512820511
7,75757.84313725491,124128.20512820511
8,75757.84313725491,124128.20512820511
9,120000.0,124128.20512820511
10,75757.84313725491,124128.20512820511
11,10000.0,20000.0
12,75757.84313725491,124128.20512820511
13,75757.84313725491,124128.20512820511
14,75757.84313725491,124128.20512820511
15,90000.0,110000.0
16,75757.84313725491,124128.20512820511
17,75757.84313725491,124128.20512820511
18,75757.84313725491,124128.20512820511
19,75757.84313725491,124128.20512820511
20,75757.84313725491,124128.20512820511
21,90000.0,150000.0
22,80000.0,80000.0
23,75757.84313725491,124128.20512820511
24,75757.84313725491,124128.20512820511
25,75757.84313725491,124128.20512820511
26,100000.0,124128.20512820511
27,75757.84313725491,124128.20512820511
28,60000.0,124128.20512820511
29,70000.0,124128.20512820511
30,75757.84313725491,124128.20512820511
31,75757.84313725491,124128.20512820511
32,75757.84313725491,124128.20512820511
33,75757.84313725491,124128.20512820511
34,75757.84313725491,124128.20512820511
35,50000.0,70000.0
36,75757.84313725491,124128.20512820511
37,75757.84313725491,124128.20512820511
38,75757.84313725491,124128.20512820511
39,75757.84313725491,124128.20512820511
40,75757.84313725491,124128.20512820511
41,40000.0,70000.0
42,75757.84313725491,124128.20512820511
43,75757.84313725491,124128.20512820511
44,75757.84313725491,124128.20512820511
45,75757.84313725491,124128.20512820511
46,75757.84313725491,124128.20512820511
47,75757.84313725491,124128.20512820511
48,35000.0,50000.0
49,75757.84313725491,124128.20512820511
50,75757.84313725491,124128.20512820511
51,75757.84313725491,124128.20512820511
52,75757.84313725491,124128.20512820511
53,75757.84313725491,124128.20512820511
54,60000.0,124128.20512820511
55,133197.2540045767,200000.0
56,75757.84313725491,124128.20512820511
57,75757.84313725491,124128.20512820511
58,75757.84313725491,124128.20512820511
59,75757.84313725491,124128.20512820511
60,75757.84313725491,124128.20512820511
61,75757.84313725491,124128.20512820511
62,75757.84313725491,124128.20512820511
63,75757.84313725491,124128.20512820511
64,75757.84313725491,124128.20512820511
65,75757.84313725491,124128.20512820511
66,50000.0,124128.20512820511
67,75757.84313725491,124128.20512820511
68,75757.84313725491,124128.20512820511
69,45000.0,120000.0
70,75757.84313725491,124128.20512820511
71,50000.0,150000.0
72,54000.0,124128.20512820511
73,75757.84313725491,124128.20512820511
74,75757.84313725491,124128.20512820511
75,75757.84313725491,124128.20512820511
76,45000.0,124128.20512820511
77,27000.0,34000.0
78,75757.84313725491,201989.58333333328
79,4000.0,124128.20512820511
80,75757.84313725491,124128.20512820511
81,75757.84313725491,124128.20512820511
82,75757.84313725491,124128.20512820511
83,75757.84313725491,124128.20512820511
84,75757.84313725491,124128.20512820511
85,75757.84313725491,124128.20512820511
86,75757.84313725491,124128.20512820511
87,55000.0,100000.0
88,75757.84313725491,124128.20512820511
89,75757.84313725491,124128.20512820511
90,55650.0,70000.0
91,75757.84313725491,124128.20512820511
92,75757.84313725491,124128.20512820511
93,75757.84313725491,124128.20512820511
94,133197.2540045767,201989.58333333328
95,75757.84313725491,50000.0
96,120000.0,124128.20512820511
97,45000.0,60000.0
98,75757.84313725491,124128.20512820511
99,75757.84313725491,124128.20512820511
100,75757.84313725491,75000.0
101,75757.84313725491,124128.20512820511
102,40000.0,124128.20512820511
103,75757.84313725491,124128.20512820511
104,25000.0,45000.0
105,75757.84313725491,124128.20512820511
106,75757.84313725491,124128.20512820511
107,75757.84313725491,124128.20512820511
108,70000.0,70000.0
109,75757.84313725491,124128.20512820511
110,75757.84313725491,124128.20512820511
111,30000.0,124128.20512820511
112,75757.84313725491,124128.20512820511
113,75757.84313725491,124128.20512820511
114,75757.84313725491,124128.20512820511
115,75757.84313725491,124128.20512820511
116,75757.84313725491,57000.0
117,80000.0,105000.0
118,75757.84313725491,124128.20512820511
119,75757.84313725491,124128.20512820511
120,133197.2540045767,201989.58333333328
121,75757.84313725491,124128.20512820511
122,75757.84313725491,124128.20512820511
123,75757.84313725491,124128.20512820511
124,28000.0,50000.0
125,75757.84313725491,124128.20512820511
126,75757.84313725491,124128.20512820511
127,75757.84313725491,124128.20512820511
128,75757.84313725491,124128.20512820511
