city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish,group
Москва,МОНТ,2019-12-11T18:33:23+0300,"<p><em>В дружный коллектив Компании MONT, один из ведущих дистрибьюторов ПО в России и СНГ, приглашается <strong>Разработчик .Net.</strong></em></p> <p> </p> <p><strong>Задачи:</strong></p> <ul> <li>Разработка приложений на базе Microsoft .Net;</li> <li>Администрирование и техническое сопровождение разработанных приложений;</li> </ul> <p> </p> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы над крупными проектами (длительностью более полугода) от 2 лет;</li> <li>Понимание принципов построения отказоустойчивых и масштабируемых приложений;</li> <li>Твердое знание и практический опыт работы с C#, ASP.NET MVC, SQL (Microsoft TSQL),WCF, EntityFramework;</li> <li>Опыт работы с GIT;</li> <li>Плюсом будет опыт работы с Elasticsearch, NoSql, базами данных, очередями сообщений, понимание основ HTML, CSS, JS</li> </ul> <p> </p> <p><strong>Условия работы:</strong></p> <ul> <li>Оклад (по результатам собеседования) + премии по итогам работы;</li> <li>Бесплатное питание и разные вкусности в течение дня.</li> <li>ДМС;</li> <li>Возможность посещать конференции за счет компании.</li> <li>Пятидневная рабочая неделя с 10 до 18;</li> <li>Современный офис рядом с м. Улица 1905 года (5 мин. ходьбы).</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|ASP.NET|MVC|C#|SQL|Git|WCF|Entity Framework,3.0,91000.0,1.0,180000.0,разработчик .net,Опыт работы над крупными проектами (длительностью более полугода) от 2 лет. Понимание принципов построения отказоустойчивых и масштабируемых приложений. ,Разработка приложений на базе Microsoft .Net. Администрирование и техническое сопровождение разработанных приложений.,9,.net
Москва,Profit Center,2019-11-15T11:58:06+0300,"<p>Привет! Мы - продуктовая it-компания, которая ценит качественный подход к работе, любовь к делу, которым занимаемся, внутреннюю мотивацию и жизненную энергию. Это касается, как отношения сотрудников к компании, так и наоборот. Ничего нового не сказала, но если вам близко то, что перечислила - welcome.</p> <p><strong>Основные задачи:</strong></p> <ul> <li>Участие в разработке ПО для работы на финансовых рынках</li> <li>Написание десктопных/серверных приложений на C#</li> <li>Оптимизация кода</li> <li>Минимизация задержек в передаче и обработке данных</li> </ul> <p><strong>Необходимые навыки:</strong></p> <ul> <li>Опыт разработки от 2х лет на C#</li> <li>Отличное понимание ООП</li> <li>Опыт построения многопоточных приложений</li> <li>Умение разбираться в чужом коде, писать качественный, быстрый и понятный код</li> <li>Способность быстро учиться и работать самостоятельно</li> <li>Уровень английского не важен</li> </ul> <p><strong>Будет преимуществом:</strong></p> <ul> <li>Опыт разработки высоконагруженных приложений</li> </ul> <p><strong>Компания предлагает:</strong></p> <ul> <li>Участие в разработке масштабного продукта компании</li> <li>Не простой кодинг, а решение уникальных задач</li> <li>Нацеленность на результат, а не на процесс</li> <li>Индивидуальный подход к каждому разработчику</li> <li><strong>Удаленную занятость на полный рабочий день с гибким графиком</strong></li> <li>Достойную оплату труда</li> <li>Возможность профессионального и карьерного роста</li> </ul> <p><strong>Все не опишешь двумя словами, но если заинтересовала - высылайте резюме!) В сопроводительном письме укажите, пожалуйста, желаемый уровень дохода.</strong></p>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|C#|ООП|MySQL,3.0,2000.0,1.0,1200.0,с# .net разработчик,Опыт разработки от 2х лет на C#. Отличное понимание ООП. Опыт построения многопоточных приложений. Умение разбираться в чужом коде...,Участие в разработке ПО для работы на финансовых рынках. Написание десктопных/серверных приложений на C#. Оптимизация кода. Минимизация задержек в...,36,.net
Москва,Инград,2019-11-29T10:35:44+0300,"<ul> <li><strong>ГК «Инград» </strong>— крупная инвестиционно-девелоперская компания, которая ведет свою деятельность с 2012 года.</li> <li>Группа компаний «Инград» специализируется на строительстве жилых комплексов и микрорайонов комфорт и бизнес-класса в Москве и ближнем Подмосковье, уделяя особое внимание соблюдению сроков и качеству строительства, формированию комфортной среды для жителей.</li> </ul> <p><strong>Обязанности:</strong></p> <ul> <li>Проектирование архитектуры решений (объектная модель системы);</li> <li>Контроль и выполнение публикации релизов;</li> <li>Поддержка и развитие существующих решений на базе Microsoft Dynamics CRM (рефакторинг);</li> <li>Разработка интеграционных решений (корпоративная сервисная шина);</li> <li>Реализация новых требований заказчика (оценка, разработка);</li> <li>Участие в процессах разработки технологических стандартов и документального обеспечения эксплуатации системы.</li> </ul> <strong>Требования:</strong> <ul> <li>Образование - высшее техническое образование, предпочтительно в области ИТ;</li> <li>Понимание архитектурных принципов построения ИТ-систем;</li> <li>Знания методологий разработки, ООП, принципов SOLID, IoC, паттернов проектирования, рефакторинга и пр.;</li> <li>Опыт разработки на .NET C# от 3 лет;</li> <li>ASP.NET MVC или Angular;</li> <li>T-SQL;</li> <li>Опыт разработки многопоточных/асинхронных систем в .NET.</li> </ul> <strong>Условия:</strong> <ul> <li>Современный комфортабельный офис в шаговой доступности от м. Цветной бульвар/ Новослободская/ Маяковская(10 мин. пешком);</li> <li>График: 5/2, с 9:00 до 18:00, пятница до 16.45;</li> <li>Оформление в соответствии с трудовым законодательством;</li> <li>Официальная з\п + годовой бонус;</li> <li>Возможность реализовывать интересные идеи.</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|.NET Framework|ASP.NET|Entity Framework|C#|ООП,6.0,180000.0,3.0,90600.0,ведущий разработчик с# .net,"Образование - высшее техническое образование, предпочтительно в области ИТ. Понимание архитектурных принципов построения ИТ-систем. Знания методологий разработки, ООП, принципов SOLID...",Проектирование архитектуры решений (объектная модель системы). Контроль и выполнение публикации релизов. Поддержка и развитие существующих решений на базе Microsoft Dynamics...,22,.net
Санкт-Петербург,Аркадия,2019-12-09T14:03:58+0300,"<p>Мы занимаемся разработкой ПО на заказ — в основном для компаний из США и Западной Европы. Нас около 600 человек, мы работаем в 4 офисах: центральный офис в Санкт-Петербурге, офисы разработки в Таганроге и Минске, а также офис продаж в Великобритании.</p> <p>Наши заказчики — крупные международные компании, лидеры в сферах обучения и сертификации, фармацевтики, здравоохранения, управления предприятием, медиа и безопасности.</p> <p>Большинство наших проектов — долгосрочные, и мы следим за тем, чтобы нам было удобно развивать их и поддерживать. Для этого мы применяем практики code review, architecture review, static code analysis, CI/CD, automated testing.</p> <p>В команду, работающую с отделом разработки всемирно известного британского информационного агентства, требуется опытный .NET разработчик.</p> <p>Мы работаем с многочисленными web-приложениями нашего заказчика, находящимися на разных стадиях жизненного цикла: от проектирования до поддержки. В процессе разработки используется Scrum. Мы общаемся с заказчиком на ежедневной основе, поэтому от успешного кандидата ожидаем уровня разговорного языка не ниже Upper-Intermediate.</p> <p>У нас вы сможете приобщиться к миру современных интернет-медиа, включиться в отлаженный Agile процесс разработки, стать частью высокопрофессиональной, ориентированной на результат и инновации команды, побывать в командировках в Лондоне.</p> <p><strong>Вы можете стать частью нашей команды, если у вас есть:</strong></p> <ul> <li>опыт коммерческой разработки на платформе .NET, C# — не менее 3 лет;</li> <li>ASP.NET MVC;</li> <li>CMS Sitecore;</li> <li>HTML, CSS, JavaScript;</li> <li>SQL Server;</li> <li>Web services (REST/WCF/Web API);</li> <li>Git.</li> </ul> <p><strong>Также необходимо:</strong></p> <ul> <li>понимание основных структур данных и алгоритмов;</li> <li>ориентация на результат;</li> <li>отличные навыки коммуникации;</li> <li>аналитические способности;</li> <li>уверенный разговорный и письменный английский язык не ниже Upper-Intermediate.</li> </ul> <p><strong>Приветствуется:</strong></p> <ul> <li>опыт работы с CI (TeamCity);</li> <li>ORM (Entity Framework);</li> <li>Angular;</li> <li>BDD/TDD;</li> <li>Microsoft Azure;</li> <li>знание семейства продуктов Atlassian: Stash, Jira, Octopus.</li> </ul> <p><strong>Работа в Аркадии — это:</strong></p> <ul> <li>официальное оформление, белая зарплата, отпуск согласно ТК РФ;</li> <li>гибкий график работы;</li> <li>ДМС со стоматологией, 100% оплата больничных, еженедельный приём врача-терапевта прямо в нашем офисе;</li> <li>достойная заработная плата;</li> <li>дружная команда и интересные задачи;</li> <li>возможности профессионального роста;</li> <li>посещение тренингов, конференций, прохождение сертификаций, курсы английского языка в офисе;</li> <li>внутренние семинары по обмену знаниями;</li> <li>работа в современном и комфортном офисе: вело- и автопарковки, душевые, оборудованная столовая, чай, кофе, фрукты, игровой клуб с кикером, пинг-понгом, видео- и настольными играми;</li> <li>удобные и современные рабочие места;</li> <li>корпоративные занятия спортом, командные тимбилдинги;</li> <li>релокационный бонус в размере месячной зарплаты для иногородних кандидатов при переезде.</li> </ul>",Полная занятость,Гибкий график,От 3 до 6 лет,|ASP.NET|.NET Framework|MVC|MS SQL|HTML|CSS|JavaScript|C#|Azure|Sitecore,6.0,225000.0,3.0,109698.68823000902,asp.net разработчик,"Опыт коммерческой разработки на платформе .NET, C# — не менее 3 лет. ASP.NET MVC. CMS Sitecore. HTML, CSS, JavaScript. SQL Server. ",Без обязанностей,11,.net
Санкт-Петербург,NETRIKA,2019-12-12T12:52:04+0300,"<p>Направление <em>Здравоохранение </em>разрабатывает интеграционную платформу для организации на уровне региона сквозных бизнес-процессов, таких как: запись на прием к врачу, обмен результатами лабораторных исследований и др.</p> <p>Мы строим эти сервисы, ориентируясь на международный опыт разработчиков медицинских систем и являемся одним из лидеров в разработке подобных решений в нашей стране.</p> <p>Если тебе интересно создавать востребованные продукты, которые приносят пользу каждый день большому количеству людей, ждем резюме в наш отдел разработки ;)</p> <p><em>В чем ожидается активное участие нового специалиста:</em></p> <ul> <li>разработка новых сервисов и компонентов;</li> <li>поддержка существующего кода, его анализ и оптимизация;</li> <li>работа с удаленными сотрудниками (постановка задач, приемка кода, разрешение сложных вопросов);</li> <li>код-ревью;</li> <li>участие в оптимизации процессов разработки.</li> </ul> <p><em>Нужный технический бэкграунд:</em></p> <ul> <li>опыт разработки на C# .Net от 5 лет; по навыкам - уровень senior;</li> <li>опыт построения приложений с помощью webAPI/REST;</li> <li>опыт использования сервисов очередей (RabbitMQ);</li> <li>опыт использования распределённого кеширования в высоконагруженных приложениях;</li> <li>знание СУБД MongoDB;</li> <li>навыки OOP, OOD;</li> <li>опыт разработки коммерческих продуктов на .Net Core;</li> <li>опыт разработки в микро сервисной среде приложений.</li> </ul> <p><em>Будет плюсом:</em></p> <ul> <li>опыт разработки с использованием стандарта HL7 FHIR приветствуется.</li> </ul> <p><em>Условия:</em></p> <ul> <li>официальное трудоустройство;</li> <li>стабильная выплата заработной платы, два раза в месяц;</li> <li>гибкое начало рабочего дня;</li> <li>свободный дресс-код;</li> <li>ДМС после испытательного срока;</li> <li>чай, кофе unlimit, печеньки/плюшки к завтраку - приятное дополнение;</li> <li>удобное расположения офиса в центре города (15 мин. пешком от ст.м. &quot;Чернышевская&quot;/&quot;Площадь Восстания&quot;).</li> </ul>",Полная занятость,Полный день,От 3 до 6 лет,|MongoDB|ООП|C#|.Net Core|RabbitMQ,6.0,225000.0,3.0,109698.68823000902,ведущий разработчик .net,Опыт разработки на C# .Net от 5 лет; по навыкам - уровень senior. Опыт построения приложений с помощью webAPI/REST. ,"Разработка новых сервисов и компонентов. Поддержка существующего кода, его анализ и оптимизация. Работа с удаленными сотрудниками (постановка задач, приемка кода...",9,.net
Санкт-Петербург,Distillery,2019-12-02T14:16:42+0300,"<p><strong>Distillery is in search of an experienced C#/.NET developer to join our large product team.<br />Role:</strong></p> <ul> <li>Provide technical guidance to the Web Team on designs, day to day technical questions;</li> <li>Participate in scoping, technical designs, design reviews, code reviews on Web team projects;</li> <li>Design, develop, test HTML5, ASP.NET and Rest API/web-services features involving HTML5, C# and MSSQL stored procedures;</li> <li>Data design and data modeling for complex business features;</li> <li>Knowledge of Performance tuning of store procedures;</li> <li>Propose architectural enhancements to current system that can improve scalability, stability and performance improvements in particular at the DB layer;</li> <li>Collaborate with cross functional teams including other engineering teams on features, technical approaches to complex problems.</li> </ul> <p><strong>Must have:</strong></p> <ul> <li>At least 5 years of production software development experience;</li> <li>Proficiency in C#;</li> <li>Proficiency in HTML5 and ASP.NET Development;</li> <li>Strong communication skills;</li> <li>Experience collaborating with multiple cross-functional teams including support, product management, developers, tech-ops;</li> <li>In-depth knowledge about REST or SOAP web services (REST experience is preferred, but any web services experience can do);</li> <li>Experience in MSSQL and stored procedures development;</li> <li>Expert in Object Oriented programming, design patterns, multi-threading;</li> <li>Experience in Unit Testing, Test Automation;</li> <li>Experience writing design documents.</li> </ul> <p><strong>Nice to have:</strong></p> <ul> <li>NOSQL Experience;</li> <li>Experience converting test plans into automatable test cases;</li> <li>Experience with functional testing of web services via automation;</li> <li>Experience working in a SaaS company with HA systems;</li> <li>Experience working with large data sets/scalability.</li> </ul> <p><strong>We offer:</strong></p> <ul> <li>A friendly team of first-class professionals you’ll find easy to work and communicate with;</li> <li>Transparency in processes and liberal atmosphere across the company;</li> <li>Modern technology stack on all projects;</li> <li>Professional and personal growth as well as the ability to change your area of expertise;</li> <li>Attendance sponsorship of IT events, professional conferences as well as financial cover of online and offline courses;</li> <li>Internal hackathons and meetups where each employee can act as a speaker;</li> <li>Salary corresponding to your work experience and skills. We are open for payment negotiation;</li> <li>A cosy office in the historic center of the city. Fruits, coffee, tea, biscuits, cereal, bicycle and car parking spaces, lounge areas with cosy armchairs, bean-bags and sofas, PS4, guitars, balalaika and a library with professional and fiction literature;</li> <li>Flexible working schedule and the ability to work remotely;</li> <li>All the necessary equipment;</li> <li>Compensation of sport and medical expenses;</li> <li>English language courses at the office.</li> </ul> <p><strong>See you at Distillery!</strong></p>",Полная занятость,Гибкий график,От 3 до 6 лет,Без ключевых навыков,6.0,225000.0,3.0,109698.68823000902,с# .net разработчик,At least 5 years of production software development experience. Proficiency in C#. Proficiency in HTML5 and ASP.NET Development. ,"Provide technical guidance to the Web Team on designs, day to day technical questions. Participate in scoping, technical designs, design...",18,.net
Санкт-Петербург,МТС,2019-12-05T11:46:22+0300,"<p>В связи с расширением облачной инфраструктуры для обеспечения бесперебойной работы облачных сервисов группа компаний <strong>«ИТ-ГРАД»</strong> открывает вакансию <strong>.Net разработчик</strong>.</p> <p>ИТ-рынок — самый устойчивый и активно развивающийся в мире.<br />При этом облачные услуги — самый перспективный и растущий его сегмент. На этом рынке мы и работаем, продвигая облачные услуги в России и странах СНГ, куда нововведения дотягиваются с небольшим опозданием.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка и доработка масштабируемых высоконагруженных высокопроизводительных приложений на платформе Microsoft .NET Framework и .NET Core;</li> <li>Оптимизация и рефакторинг текущего программного кода.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Знания: C# .NET, ASP.NET MVC (middle);</li> <li>Опыт применения паттернов проектирования: Depency Ijection, Abstract Factory, Ninject и др;</li> <li>Опыт написания LINQ запросов;</li> <li>Знание и умение применять принципы и понятия ООП;</li> <li>Опыт проведения рефакторинга (для mid);</li> <li>Умение работать с технической документацией (в том числе на английском);</li> <li>Python (желательно);</li> <li>Опыт разработки микросервисной архитектуры приложений (желательно);</li> <li>Желание и умение развиваться в профессиональной области.</li> </ul> <p><strong>Для эффективной работы в команде желателен опыт:</strong></p> <ul> <li>JavaScript (jquery, ajax) - базовые знания;</li> <li>Опыт написания простых SQL запросов.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Комфортный офис на юге Санкт-Петербурга, пл. Конституции (ст.м.Московская);</li> <li> <p>Белая заработная плата + премия;</p> </li> <li> <p>Уровень зарплаты обсуждается с успешным кандидатом;</p> </li> <li> <p>Работа в динамично развивающейся компании, интересные задачи;</p> </li> <li> <p>Обширные возможность профессионального и карьерного роста;</p> </li> <li> <p>Отсутствие формализма и бюрократии.</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|ASP.NET|C#|MVC|MS Visual Studio|Visual Studio C#|.NET Framework,3.0,225000.0,1.0,109698.68823000902,.net разработчик,"Знания: C# .NET, ASP.NET MVC (middle). Опыт применения паттернов проектирования: Depency Ijection, Abstract Factory, Ninject и др. Опыт написания LINQ...",Разработка и доработка масштабируемых высоконагруженных высокопроизводительных приложений на платформе Microsoft .NET Framework и .NET Core. Оптимизация и рефакторинг текущего программного...,16,.net
Санкт-Петербург,Studio 8,2019-12-13T16:03:07+0300,"<p>В настоящее время мы ищем себе в команду<strong> &quot;.Net С# разработчика&quot;</strong> в связи c увеличением штата.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Разработка backend&#39;а и поддержка существующего ПО.</li> <li>Проведение код-ревью.</li> <li>Написание тех. документации.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт программирования на языке <strong>С#, Net Core</strong>.</li> <li>Практический опыт программирования <strong>многопоточных приложений</strong>.</li> <li>Понимание <strong>микросервисной архитектуры</strong>.</li> <li>Опыт работы с <strong>EntityFramework</strong>, <strong>MySQL</strong>.</li> </ul> <p><strong>Желательно:</strong></p> <ul> <li>опыт работы с RabbitMq, NetMq, GRPС</li> <li>понимание multi-node архитектуры распределенных систем, балансировка нагрузки.</li> <li>мониторинг и диагностика систем, работающих 24/7.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Заработная плата обсуждается индивидуально.</li> <li>График работы: 5/2, 40 часовая рабочая неделя, присутственные часы с 10 до 18 по Московскому времени.</li> <li>Удаленная работа.</li> </ul>",Полная занятость,Удаленная работа,От 1 года до 3 лет,|С#|Entity Framework|.NET Framework|LINQ|Design Patterns|MySQL|Git|MS Visual Studio,3.0,225000.0,1.0,109698.68823000902,.net с# разработчик,"Опыт программирования на языке С#, Net Core. Практический опыт программирования многопоточных приложений. Понимание микросервисной архитектуры. Опыт работы с EntityFramework, MySQL. ",Разработка backend&#39;а и поддержка существующего ПО. Проведение код-ревью. Написание тех. документации.,7,.net
Санкт-Петербург,Softline,2019-12-11T14:58:41+0300,"<p>Мы ищем .NET разработчика в команду развития корпоративной CRM системы.</p> <p><strong>Мы делаем:</strong></p> <ul> <li>Кастомизация Microsoft Dynamics CRM, разработка плагинов, бизнес-процессов и отчетов;</li> <li>Поддержка и разработка интеграций и синхронизаций с внешними и внутренними сервисами;</li> <li>Написание юнит-тестов;</li> <li>Разработка веб-приложений и страниц, интегрированных с CRM.</li> </ul> <p><strong>Мы ищем:</strong></p> <ul> <li>Опыт Web разработки;</li> <li>Знание принципов ООП;</li> <li>Знание и опыт разработки на ASP.NET, C#;</li> <li>Опыт работы на JavaScript, знание React или готовность перейти на React;</li> <li>Опыт работы с MS SQL Server 2008-2014;</li> <li>Умение рефакторить код и находить слабые места.</li> </ul> <p><strong>Мы Предлагаем:</strong></p> <ul> <li>Востребованный продукт с большими планами на его развитие;</li> <li>Работа по методологии Scrum в команде с аналитиками, администраторами, инженерами;</li> <li>Возможность предлагать и реализовывать свои идеи;</li> <li>Полная занятость с гибким графиком.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,Без ключевых навыков,3.0,225000.0,1.0,109698.68823000902,разработчик .net,"Опыт Web разработки. Знание принципов ООП. Знание и опыт разработки на ASP.NET, C#. Опыт работы на JavaScript, знание React или...","Кастомизация Microsoft Dynamics CRM, разработка плагинов, бизнес-процессов и отчетов. Поддержка и разработка интеграций и синхронизаций с внешними и внутренними...",9,.net
Санкт-Петербург,Itransition,2019-12-05T11:59:45+0300,"<p>Мы ищем опытных разработчиков, готовых решать серьезные задачи и разрабатывать качественные приложения и системы с использованием современных технологий.</p> <p><strong>От вас ожидается:</strong></p> <ul> <li>Опыт работы в IT не менее года</li> <li>Опыт работы с Microsoft .NET, знание ASP.NET MVC и Web API</li> <li>Опыт работы с базами данных (SQL или NoSQL), ORM фреймворками</li> <li>Владение английским на уровне ведения переписки</li> </ul> <p><strong>Мы приветствуем:</strong></p> <ul> <li>Опыт Frontend разработки (HTML 5, JavaScript / TypeScript, Angular / React или другие)</li> <li>Опыт написания автоматизированных тестов</li> <li>Знание основ контейнеризации приложений, понимание и опыт использования Docker</li> </ul> <p><strong>Мы предлагаем:</strong></p> <ul> <li>Работу в одной из четырёх крупнейших ИТ-компаний Беларуси</li> <li>Проекты с такими заказчиками, как Xerox, Philips, adidas, Wargaming и Toyota</li> <li>Конкурентную зарплату, растущую с повышением квалификации</li> <li>Систему карьерного роста с четкими требованиями к каждому уровню квалификации</li> <li>Гибкий график работы</li> <li>Офисы в центре города</li> <li>Корпоративную дисконтную карту со скидками на обучение, развлечения, страхование, детский отдых, доставку еды и многое другое</li> <li>Курсы английского в офисе</li> <li>Корпоративные праздники и тематические вечеринки для сотрудников и их детей</li> <li>Регулярные конференции и мастер-классы для обучения и обмена опытом</li> <li>Компенсацию спортивных абонементов, корпоративные спортивные (в том числе и кибер-спортивные) соревнования, корпоративные команды по футболу, баскетболу и волейболу</li> <li>5 дней оплачиваемого больничного в год без справок</li> </ul>",Полная занятость,Гибкий график,От 1 года до 3 лет,|JavaScript|CSS|HTML|SQL|HTML5,3.0,225000.0,1.0,109698.68823000902,middle .net разработчик,"Опыт работы в IT не менее года. Опыт работы с Microsoft .NET, знание ASP.NET MVC и Web API. ",Без обязанностей,16,.net
