city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities
Тюмень,Сеть салонов сотовой связи ИЗЮМ и Теле 2,2019-10-09T09:59:39+0300,"<p><strong>Цели и задачи ?!</strong></p> <p>Продавать мобильное оборудование;<br />Продавать дополнительные услуги (настройка, создание аккуаунтов и подобное)<br />Подключение абонентов к раз-ым операторам сотовой связи.</p> <p><strong>Наш кандидат ?!</strong></p> <p>Ориентирован на достойный доход;<br />Настойчив в достижении своих целей<br />Активная жизненная позиция и позитивный взгляд на мир;<br />Соблюдает стандарты и правила в работе.</p> <p><strong>Условия работы ?!</strong></p> <p>Работа в салоне связи;<br />Гибкий график работы;<br />Корпоративное обучение;<br />Скидки на товары, авиа- и ж/д билеты;<br />Лучшие мотивационные программы с возможностью поездок по всему миру;<br />Оформление по ТК РФ.</p>",Полная занятость,Полный день,Нет опыта,,,80000.0,,,продавец консультант tele2,Активная жизненная позиция и позитивный взгляд на мир.,"Продавать мобильное оборудование. Продавать дополнительные услуги (настройка, создание аккуаунтов и подобное). Подключение абонентов к раз-ым операторам сотовой связи. "
Тюмень,Розничная сеть МТС,2019-09-27T08:51:30+0300,"<p>МТС сегодня – ведущая компания в России по предоставлению цифровых услуг: от мобильной связи, домашнего интернета и ТВ до развлекательных приложений, финансовых сервисов и даже киберспорта.</p> <p>Розничная сеть МТС – это более 5 000 салонов связи от Калининграда до Владивостока, более 20 000 сотрудников, 100 млн абонентов в России и СНГ.</p> <p><strong>Стань частью нашей команды!</strong></p> <p><strong>СВОЕМУ НОВИЧКУ МЫ ГАРАНТИРУЕМ:</strong></p> <p><strong>Деньги: </strong>Платим зарплату официально, стабильно, вовремя и 2 раза в месяц. А наша понятная система бонусов позволяет зарабатывать больше. Границ нет, все зависит только от тебя!</p> <p><strong>Комфортный график:</strong> О графике ты будешь знать заранее и сможешь планировать свое свободное время.</p> <p><strong>Удобное расположение: </strong>Ты сам выбираешь в каком салоне связи будешь работать. Это крутая возможность работать рядом с домом и экономить время на дорогу.</p> <p><strong>Учиться в удовольствие:</strong> У МТС есть свой университет – это не обычный вуз, это намного круче. Учишься дистанционно, у лучших экспертов. И, конечно же, обучение для сотрудников МТС бесплатное.</p> <p><strong>Строить карьеру вместе: </strong>У каждого сотрудника нашей компании есть возможность реально построить свою карьеру. Ты можешь стать экспертом по цифровым сервисам, гуру продаж или управлять офисом. Мы поддержим любое твое начинание!</p> <p><strong>Сообщество, а не просто коллектив:</strong> Наши сотрудники дружат не только на работе, у нас множество общих интересов и увлечений, а руководители — одного с вами возраста и с вами на одной волне. А победа в программе «Эволюция: Путь героя» дает возможность путешествовать вместе с лучшими сотрудниками в самые интересные уголки мира.</p> <p><strong>Приятные бонусы: </strong>Бесплатная сотовая связь – общайся со своими, сколько захочешь. Твое здоровье – наша забота, поэтому мы выдаем ДМС (со стоматологией). Давно мечтаешь о переезде в другой город? Легко! Город мечты, любимая работа, комфортное жилье – с МТС у тебя будет все! А еще у МТС много друзей, они дают нам много скидок и спецпредложений (спорт, развлечения, услуги и др.).</p> <p><strong>ВЗАМЕН – ТВОЯ ЗАБОТА О НАШИХ КЛИЕНТАХ </strong></p> <p>Обязанности просты:</p> <ul> <li>Общаться с клиентами, рассказывать о продуктах и услугах,</li> <li>Продавать гаджеты и аксессуары,</li> <li>Работать с кассой и вести внутреннюю отчетность</li> </ul> <p>Одним словом, делать клиента довольным и счастливым. А если счастлив клиент – счастлив и ты! Это наша общая цель!</p> <p><strong>Хочешь к нам? Отправляй резюме или звони! Наши контакты в «Контактной информации».</strong></p> <p># начинающий специалист # продавец консультант # специалист по продажам # менеджер по работе с клиентами # салон связи # кассир # сотовая связь # продавец без опыта</p>",Полная занятость,Полный день,Нет опыта,|Грамотная речь|Пользователь ПК|Работа в команде,,51000.0,,38000.0,продавец консультант,,"Общаться с клиентами, рассказывать о продуктах и услугах. Продавать гаджеты и аксессуары. Работать с кассой и вести внутреннюю отчетность."
Голышманово,Связной,2019-10-04T15:35:59+0300,"<p>Ты заряжен энергией и хочешь превратить ее в деньги?</p> <p>Приходи работать к нам!</p> <p> </p> <p><strong>У НАС ЕСТЬ ВСЕ ДЛЯ УСПЕШНОГО СТАРТА ТВОЕЙ КАРЬЕРЫ:</strong></p> <ul> <li>Бесплатное корпоративное обучение</li> <li>Стипендия на начальном этапе</li> <li>Неограниченная премия по результатам работы</li> <li>Работа как для опытных, так и для новичков</li> <li>Сокращенная стажировка для сотрудников с опытом работы в продажах бытовой техники и электроники</li> <li>Лучшие мотивации с возможностью поездок по всему миру</li> <li>Скидки на товар и авиабилеты</li> <li>Гибкий рабочий график</li> <li>Белая зарплата и оформление по ТК РФ</li> <li>Возможность быстрого карьерного роста до директора салона, через 3 месяца</li> <li>Льготное кредитование для сотрудников у банков-партнеров</li> </ul> <p> </p> <p><strong>С НАМИ ТЫ БУДЕШЬ:</strong></p> <ul> <li>Помогать клиентам в выборе лучших технических новинок</li> <li>Продавать товары и услуги</li> <li>Подключать к операторам связи и интернет-провайдерам</li> <li>Общаться с большим количеством людей и находить друзей</li> </ul> <p> </p> <p><strong>РАДЫ СОТРУДНИЧАТЬ, ЕСЛИ:</strong></p> <ul> <li>Хочешь работать в команде, увлеченной своим делом</li> <li>Готов учиться и развиваться</li> <li>Тебе нравятся гаджеты, продажи и общение</li> <li>У тебя грамотная речь и позитивное отношение к людям</li> </ul> <p> </p> <p>Наша команда поможет тебе стать лучшим продавцом!</p> <p>Присоединяйся!</p>",Полная занятость,Гибкий график,Нет опыта,,,,,32000.0,продавец в салон связи,"Хочешь работать в команде, увлеченной своим делом. Готов учиться и развиваться. Тебе нравятся гаджеты, продажи и общение. У тебя грамотная...",Помогать клиентам в выборе лучших технических новинок. Продавать товары и услуги. Подключать к операторам связи и интернет-провайдерам. 
Тобольск,ANCOR Consumer Goods,2019-09-27T09:59:33+0300,"<p>Открыта вакансия продавца-консультанта на бренд аудио и видео техники<strong> крупной </strong> <strong>международной</strong> <strong> компании</strong>.</p> <p><strong>Обязанности:</strong></p> <ul> <li>Выполнение плана продаж;</li> <li>Консультирование покупателей по техническим характеристикам продаваемой техники, мотивирование на покупку;</li> <li>Обеспечение постоянного наличия продукта на полке и в накопителях в соответствии с утвержденной продуктовой матрицей в торговой точке;</li> <li>Ведение ежедневной/еженедельной/ежемесячной отчетности;</li> <li>Установление и поддержание, долгосрочные деловых связей с администрацией торгового зала и персоналом торговой точки.</li> </ul> <p><strong>Требования:</strong></p> <ul> <li>Опыт работы в продажах КБТ/МБТ/АВ/моб. ритейл обязателен;</li> <li>Хорошие презентационные навыки;</li> <li>Ответственность;</li> <li>Активная жизненная позиция, желание расти и развиваться.</li> </ul> <p><strong>Условия:</strong></p> <ul> <li>Конкурентоспособная заработная плата от (оклад + бонусы + cash back);</li> <li>Работа в крупнейших торговых сетях (Эльдорадо, М-Видео, ДНС и др. региональные сети);</li> <li>График работы 8 часов+1 час обеда,5 дней в неделю (среда – воскресенье) с 12.00 до 20.00</li> <li>Оформление по ТК РФ (оплата отпуска, больничных листов);</li> <li>Каждый успешный кандидат проходит бесплатное обучение по продукту и необходимым навыкам;</li> <li>Отличные перспективы профессионального, карьерного и личностного роста.</li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,,1.0,50000.0,продавец консультант,"Опыт работы в продажах КБТ/МБТ/АВ/моб. ритейл обязателен. Хорошие презентационные навыки. Ответственность. Активная жизненная позиция, желание расти и...","Выполнение плана продаж. Консультирование покупателей по техническим характеристикам продаваемой техники, мотивирование на покупку. Обеспечение постоянного наличия продукта на полке и..."
