city,company-name,date,description,employment-form,employment-schedule,experience,key_skills,max-experience,max-salary,min-experience,min-salary,name,requirements,responsibilities,days_from_publish
Тюмень,Сервис заказа такси Максим,2019-10-11T14:20:37+0300,"<p><strong>&quot;Максим&quot; ищет разработчиков в Екатеринбурге, Челябинске, Тюмени, Кургане и Набережных Челнах.</strong></p> <p><strong>Кто мы:</strong></p> <p>- IT-компания, предоставляющая облачные решения в сфере такси. К нашим сервисам подключено большое количество компаний, среди которых как мелкие региональные игроки, так и компании с мировым именем, с сотнями городов и десятками стран присутствия.</p> <p><strong>Что у нас есть:</strong></p> <p>Активно меняющийся и развивающийся сервис, находящийся 24/7 под высокой нагрузкой от тысяч операторов и менеджеров, от десятков тысяч клиентов и водителей. Сервис, обслуживающий более миллиона заказов в сутки.</p> <p><strong>Кого мы хотим найти:</strong></p> <p>- человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть опыт с другими СУБД, если вы готовы учиться :) );</p> <p>- желателен опыт работы с веб-технологиями;</p> <p>- желателен опыт командной разработки;</p> <p>- обязательно: быть ответственным, трудолюбивым, писать понятный код и иметь огромное желание развиваться и делать реально полезные вещи.</p> <p><strong>Что мы предлагаем:</strong></p> <p>- множество интересных задач;</p> <p>- дружелюбный коллектив;</p> <p>- корпоративное обучение;</p> <p>- поездки на it-конференции;</p> <p>- комфортное рабочее место;</p> <p>- компенсацию питания;</p> <p>- бесплатные корпоративные мероприятия (Новый Год, командные выезды и движухи);</p> <p>- уровень заработной платы, который зависит от технических знаний и навыков (+ регулярный пересмотр, если вы растете).</p>",Полная занятость,Полный день,От 1 года до 3 лет,,3.0,120000.0,1.0,70000.0,разработчик баз данных,"человека с хорошей теоретической подготовкой в области баз данных, имеющего опыт использования и разработки под MSSQL или PostgreSQL (готовы рассмотреть...",,14
Тюмень,IT2G,2019-10-10T08:13:26+0300,"<p><strong>Обязанности:</strong></p> <ul> <li> <p>Написание и оптимизация SQL-запросов, хранимых процедур.</p> </li> <li> <p>Реализация отчётов в рамках существующих инструментариев.</p> </li> <li> <p>Проектирование моделей БД</p> </li> <li> <p>Оптимизация БД, имеющейся в наличии, контроль производительности БД.</p> </li> <li> <p>Экспертная оценка БД, анализ и оценка производительности.</p> </li> <li> <p>Написание ТЗ для backend-разработчиков в рамках проводимых оптимизаций</p> </li> <li> <p>Создание проектной документации для БД</p> </li> </ul> <p><strong>Требования:</strong></p> <ul> <li> <p>Высшее техническое образование;</p> </li> <li> <p>Глубокое знание языков SQL, PL/pgSQL и опыт работы от 3-лет;</p> </li> <li> <p>Опыт проектирования БД для предприятия</p> </li> <li> <p>Умение выбирать технологии для хранения данных и их обработки</p> </li> <li> <p>Опыт оптимизации SQL запросов и хранимого кода, навыки работы с большими объемами данных;</p> </li> <li> <p>Желание изучать новые технологии, решать сложные и нетривиальные задачи;</p> </li> <li> <p>Опыт разработок для DWH – желательно</p> </li> </ul> <p><strong>Условия:</strong></p> <ul> <li> <p>Оформление по ТК РФ.</p> </li> <li> <p>График 5/2.</p> </li> <li> <p>Возможности карьерного и профессионального роста.</p> </li> <li> <p>Белая заработная плата по результатам собеседования.</p> </li> </ul>",Полная занятость,Полный день,От 1 года до 3 лет,|SQL|Проектная документация|Базы данных|PostgreSQL,3.0,120000.0,1.0,70000.0,разработчик баз данных,"Высшее техническое образование. Глубокое знание языков SQL, PL/pgSQL и опыт работы от 3-лет. Опыт проектирования БД для предприятия. ","Написание и оптимизация SQL-запросов, хранимых процедур. Реализация отчётов в рамках существующих инструментариев. Проектирование моделей БД. Оптимизация БД, имеющейся в...",16
